jahr;name;beschreibung;zahl;mh;daten;land;lat;lon;fehler;url;bild1;bild2;bild3;Strasse ;PLZ ;Ort;Anlagentyp
2004;Lutzmannsburg;FB Whirlpool;42;m³/h;42 m³/h;AT;47.4461;16.5042;;;;;;;;;
2004;Holmes Place Linz;HB;94/54;m³/h;94/54 m³/h;AT;48.3058;14.2842;;;;;;;;;
2004;Albrechtsberg;FB;185;m³/h;185 m³/h;AT;48.4667;15.2333;;;;;;;;;
2004;Grand Hotel Viktoria;HB;45;m³/h;45 m³/h;CH;46.6928;7.8631;;;;;;;;;
2004;Strebersdorf;FB Familienbecken;431;m³/h;431 m³/h;AT;48.2944;16.405;;;;;;;;;
2004;Sinabelkirchen;Badesee;90;m³/h;90 m³/h;AT;47.05;15.8167;;;;;;;;;
2004;Neunkirchen;FB Erlebnisbecken  ;250;m³/h;250 m³/h;AT;47.7225;16.0783;;;;;;;;;
2004;Stammersdorf;FB Familienbecken  ;60;m³/h;60 m³/h;AT;48.3017;16.3946;;;;;;;;;
2004;Wenigzell;HB Erlebnisbecken  ;146;m³/h;146 m³/h;AT;47.4333;15.85;;;;;;;;;
2004;Glanzing;HB Wohnhausanlage  ;45;m³/h;45 m³/h;AT;48.2447;16.317;;;;;;;;;
2004;Kapfenberg;HB Saunabereich ;248;m³/h;248 m³/h;AT;47.44;15.2878;;;;;;;;;
2004;Mag. Alfred Wall, Graz;HB Privatbad ;30;m³/h;30 m³/h;AT;47.0707;15.4395;;;;;;;;;
2004;Vöest Alpine Turbolars, Kindberg;Therapiebecken;35;m³/h;35 m³/h;AT;47.5167;15.4333;;;;;;;;;
2004;Bioterme, Mala Nedelja;Therme;1165;m³/h;1165 m³/h;SLO;46.5726;16.0457;;;;;;;;;
2004;Therme Nova Köflach;Therme / Innen-/Außenbecken 809 m³/h, Grotte, Whirlpool, Kinderbecken 474 m³/h, Rutschenlandebecken 145 m³/h, Schwimmerbecken 100 m³/h, Kaltbecken 14 m³/h, Hotelbecken 76 m³/h;;;;AT;47.0717;15.0917;;;;;;;;;
2004;Stegersbach;Therme/ Hotel Bad  ;500;m³/h;500 m³/h;AT;47.1667;16.1167;;;;;;;;;
2004;Frohnleiten;FB;700;m³/h;700 m³/h;AT;47.2667;15.3167;;;;;;;;;
2004;Breitenau / Hochlantsch;Kinderbecken  ;26;m³/h;26 m³/h;AT;47.3667;15.4;;;;;;;;;
2004;Wernersdorf;FB;106;m³/h;106 m³/h;AT;46.7;15.1833;;;;;;;;;
2004;Gleisdorf;FB;944;m³/h;944 m³/h;AT;47.1;15.7;;;;;;;;;
2004;Hotel Goger, Stegersbach ;Hotel Bad  ;70;m³/h;70 m³/h;AT;47.1667;16.1167;;;;;;;;;
2004;Gleisdorf;FB Whirlpool;30;m³/h;30 m³/h;AT;47.1;15.7;;;;;;;;;
2004;Parkhotel Stubenberg;HB;24;m³/h;24 m³/h;AT;47.2167;15.9;;;;;;;;;
2004;All in Red Hotelbetrieb, Lutzmannsburg;HB / FB;49;m³/h;49 m³/h;AT;47.4461;16.5042;;;;;;;;;
2004;Stegersbach Balance Resort;Hotel Bad  ;170;m³/h;170 m³/h;AT;47.1648;16.1184;;;;;;;;;
2004;Hotel Werzer-Wallerwirt, Pörtschach;Hotel Bad  ;51;m³/h;51 m³/h;AT;46.63;14.1375;;;;;;;;;
2004;Sporthotel Kurz, Operpullendor;Hotel Bad  ;42;m³/h;42 m³/h;AT;47.5094;16.5117;;;;;;;;;
2004;Hotel Regitnig, Weißensee;Whirlpool;23;m³/h;23 m³/h;AT;46.7369;13.3384;;;;;;;;;
2004;Golf-Aparthotel, Loipersdorf;Hotel Bad;174;m³/h;174 m³/h;AT;47.0;16.0667;;;;;;;;;
2004;Hotel Kreuzwirt, Weißensee;Hotel Bad;102;m³/h;102 m³/h;AT;46.7393;13.3322;;;;;;;;;
2004;Architekt Dipl.Ing. Simonyi, Graz;Whirlpool  ;10;m³/h;10 m³/h;AT;47.9030248486571;15.954039483771817;;;;;;;;;
2004;Eisenerz;HB Saunabereich;219;m³/h;219 m³/h;AT;47.5333;14.8833;;;;;;;;;
2004;Felsenbad Bad Gastein;HB / FB   ;700;m³/h;700 m³/h;AT;47.1172;13.1344;;;;;;;;;
2004;Kiss-salis-Therme Bad Kissingen;Therme;1386;m³/h;1386 m³/h;AT;50.2025;10.0784;;;;;;;;;
2004;Fladnitz / Hotel Styria;;;; ;AT;47.3667;15.5333;;;;;;;;;
2004;Österr. Gewerkschaftsbund;HB – Hotelbecken ;34;m³/h;34 m³/h;AT;48.2083;16.3731;;;;;;;;;
2004;Jörgerbad;HB Schwimmerbecken  ;100;m³/h;100 m³/h;AT;48.2295;16.3404;;;;;;;;;
2005;Wienerbergcity;FB;65;m³/h;65 m³/h;AT;48.1665;16.3475;;;;;;;;;
2005;Rösslergasse;FB;40;m³/h;40 m³/h;AT;48.17;16.374;;;;;;;;;
2005;Leobersdorf;FB Rutschenzielbecken;60;m³/h;60 m³/h;AT;47.9536;16.2196;;;;;;;;;
2005;Langenlois;FB Kinderbecken;;; ;AT;48.4667;15.6833;;;;;;;;;
2005;Hofferplatz;FB Familienbecken  ;180;m³/h;180 m³/h;AT;48.2191;16.3332;;;;;;;;;
2005;Neunkirchen ;HB Sprungbecken  ;80;m³/h;80 m³/h;AT;47.7225;16.0783;;;;;;;;;
2005;Lenox/Moskau;HB;16;m³/h;16 m³/h;RUS;55.7558;37.6173;;;;;;;;;
2005;Lenox/Minsk;Wellness;32;m³/h;32 m³/h;RUS;53.9;27.5667;;;;;;;;;
2005;Gruber Hotel Bretanide;FB Attraktionsbecken;188;m³/h;188 m³/h;HR;43.1626;16.6392;;;;;;;;;
2005;Eibiswald;FB Neubau;423;m³/h;423 m³/h;AT;46.6833;15.2;;;;;;;;;
2005;Hotel Triest/Fontana, Bad Radkersburg ;HB / FB   ;148;m³/h;148 m³/h;AT;46.6856;15.9875;;;;;;;;;
2005;Mürzzuschlag;HB / Wasserrutsche;235;m³/h;235 m³/h;AT;47.6061;15.6711;;;;;;;;;
2005;H2O – HotelthermeBad Waltersdorf;Wasserrutsche  ;1225;m³/h;1225 m³/h;AT;47.0664;16.0235;;;;;;;;;
2005;Hotel Seeblick, Weißensee;HB;42;m³/h;42 m³/h;AT;46.74;13.34;;;;;;;;;
2005;St. Stefan im Rosental;FB;491;m³/h;491 m³/h;AT;46.87;15.8;;;;;;;;;
2005;Berggasthof Jesch, Diex;HB;50;m³/h;50 m³/h;AT;46.7175;14.6844;;;;;;;;;
2005;Vitalhotel in Henndorf / Loipersdorf;Massagebecken;80;m³/h;80 m³/h;AT;46.98069;16.12299;;;;;;;;;
2005;AVITA Therme Bad Tatzmannsdorf;Thermalwasser-Außenbecken diverse Kaltwasser-Außenbecken 93m³/h, Erweiterung Sauna 43 m³/h;;; ;AT;47.3367;16.2367;;;;;;;;;
2005;Stainz;HB;80;m³/h;80 m³/h;AT;46.8925;15.265;;;;;;;;;
2005;Hotel Astoria, Maria Wörth;HB;44;m³/h;44 m³/h;AT;46.6234;14.1389;;;;;;;;;
2005;Sonderkrankenanstalt Micheldorf;Therapiebecken;48;m³/h;48 m³/h;AT;47.8833;14.1333;;;;;;;;;
2005;Familie Trost, Salzburg-Anif;HB Privatbad;25;m³/h;25 m³/h;AT;47.75;13.0667;;;;;;;;;
2005;AVL Klimabrunnen, Graz;Klimabrunnen;15;m³/h;15 m³/h;AT;47.0707;15.4395;;;;;;;;;
2005;Eurotherme Bad Schallerbach;Therme;1100;m³/h;1100 m³/h;AT;48.2333;13.8167;;;;;;;;;
2005;Spreewaldtherme Burg;Therme;882;m³/h;882 m³/h;DE;51.8341;14.1583;;;;;;;;;
2005;Gnas;HB;56;m³/h;56 m³/h;AT;46.8667;15.8333;;;;;;;;;
2005;Hietzing ;FB;15;m³/h;15 m³/h;AT;48.1755;16.2548;;;;;;;;;
2005;Linz AG – OÖ;Zierbecken;10;m³/h;10 m³/h;AT;48.3064;14.2861;;;;;;;;;
2006;Scharfegger;HB Whirlpool;26;m³/h;26 m³/h;AT;47.6759;15.7491;;;;;;;;;
2006;Sonderschule Schwechat;HB Therapiebecken;21;m³/h;21 m³/h;AT;48.1333;16.4667;;;;;;;;;
2006;Waldschule Wr. Neustadt;HB Therapiebecken;126;m³/h;126 m³/h;AT;47.8;16.25;;;;;;;;;
2006;Gumpoldskirchen ;FB Filtertausch;;; ;AT;48.0286;16.2844;;;;;;;;;
2006;Bad Leonfelden;HB Schwimmbecken/Whirlpool  ;61/42;m³/h;61/42 m³/h;AT;48.5167;14.3;;;;;;;;;
2006;Axams;FB;244;m³/h;244 m³/h;AT;47.2333;11.3;;;;;;;;;
2006;Kapfenberg;FB Filtersanierung;;; ;AT;47.44;15.2878;;;;;;;;;
2006;Scharfegger;Halle- und Freibereich Schwimmbecken;48;m³/h;48 m³/h;AT;47.6759;15.7491;;;;;;;;;
2006;Lachtal;HB;21;m³/h;21 m³/h;AT;47.2328;14.3347;;;;;;;;;
2006;Vitalhotel Bad Ischl;Badewasseraufbereitung, HB Schwimmbecken 77 m³/h, HB Whirlpool 45 m³/h, Einrichtung Edelstahlbecken;;; ;AT;47.7111;13.6206;;;;;;;;;
2006;Gallspach;Naturschwimmbad 30 m³/h, Pumpenraum 120/20 m³/h;;; ;AT;48.2333;13.8;;;;;;;;;
2006;St. Marein;Badesee;76;m³/h;76 m³/h;AT;47.01313642444214;15.685150090572426;;;;;;;;;
2006;Kongreßbad;FB Erlebnisbecken;550;m³/h;550 m³/h;AT;48.222;16.3117;;;;;;;;;
2006;Theresienbad;Saunabecken;34;m³/h;34 m³/h;AT;48.182;16.3308;;;;;;;;;
2006;Würflach;FB Nichtschwimmerbecken;200;m³/h;200 m³/h;AT;47.7667;16.0667;;;;;;;;;
2006;Therme Linsberg;Planungsauftrag und Thermenbrunnen Thermalwasseraufbereitung Badewasseraufbereitung;;; ;AT;47.7689;16.2264;;;;;;;;;
2006;John Harris Fitness;HB Schwimmerbecken;90;m³/h;90 m³/h;AT;48.199;16.368;;;;;;;;;
2006;Gaming ;HB Schulhallenbad  ;80;m³/h;80 m³/h;AT;47.8656;15.0791;;;;;;;;;
2006;Gesundheitszentrum, Hotel Wasnerin Bad Aussee;HB / FB;350;m³/h;350 m³/h;AT;47.6116;13.7827;;;;;;;;;
2006;Garten-Hoteldorf Ochensberger St. Ruprecht;HB;45;m³/h;45 m³/h;AT;47.14978093734632;15.66654821775292;;;;;;;;;
2006;Hart bei Graz;HB;135;m³/h;135 m³/h;AT;47.05;15.5167;;;;;;;;;
2006;Bad Gleichenberg;FB Sanierung ;678;m³/h;678 m³/h;AT;46.87559;15.90007;;;;;;;;;
2006;Haus Rossi, Kom.Rat Roth;Whirlpool Privatbad;40;m³/h;40 m³/h;DE;50.14452;7.17075;;;;;;;;;
2006;Schloß Pichlarn, Aigen i.E.;FB Kinderbecken;135;m³/h;135 m³/h;AT;47.5192;14.1062;;;;;;;;;
2006;Nova Gorica;Therapiebecken mit Ozon;80;m³/h;80 m³/h;SLO;45.956;13.65;;;;;;;;;
2006;Avance Hotel Bad Tatzmannsdorf;HB Kinderbecken;171;m³/h;171 m³/h;AT;47.3367;16.2367;;;;;;;;;
2006;Conip Zagreb;HB;15;m³/h;15 m³/h;HR;45.813775176674056;15.998422829353679;;;;;;;;;
2006;Gleichenberger Hof;FB;43;m³/h;43 m³/h;AT;46.87;15.9;;;;;;;;;
2006;Therme Loipersdorf;Methanentgasung Barbaraquelle;3,6;l/s;3,6 l/s;AT;47.0;16.0667;;;;;;;;;
2006;Gemeinde Mitterdorf / Mürztal;FB Wasserrutsche;315;m³/h;315 m³/h;AT;47.5;15.5667;;;;;;;;;
2006;Therme Loipersdorf;Thermal-Innenbecken  ;282;m³/h;282 m³/h;AT;47.0;16.0667;;;;;;;;;
2006;Dorfhotel Fasching Fischbach;HB;58;m³/h;58 m³/h;AT;47.5003;15.7006;;;;;;;;;
2006;Hotel Loipersdorf;HB;105;m³/h;105 m³/h;AT;47.0;16.0667;;;;;;;;;
2006;Landessportschule Linz;FB Folienauskleidung;420;m³/h;420 m³/h;AT;48.3;14.3;;;;;;;;;
2006;Jörgerbad;FB Nichtschwimmerbecken;200;m³/h;200 m³/h;AT;48.2295;16.3404;;;;;;;;;
2007;Kabelwerke;Zierbrunnen 120 m³/h, Wassertreppe 25 m³/h;;;;AT;48.1857;16.3247;;;;;;;;;
2007;Theodor Körner Schule;HB Sanierung;;; ;AT;48.1801;16.3043;;;;;;;;;
2007;Ebensee;Mehrzweckbecken 96 m³/h, Kinderbecken 4 m³/h, Einrichtung Edelstahlbecken;;; ;AT;47.81227756007146;13.773378575407564;;;;;;;;;
2007;Wien Süd – Mittelfeldweg;FB;24;m³/h;24 m³/h;AT;48.1463;16.369;;;;;;;;;
2007;Amstetten Naturbad;Erweiterung Schwimmbad, Erlebnisbecken 238 m³/h, Kinderbecken 20 m³/h, Errichtung Technikraum;;; ;AT;48.1167;14.8667;;;;;;;;;
2007;Schlosshotel Velden;HB / FB;200;m³/h;200 m³/h;AT;46.6111;14.0489;;;;;;;;;
2007;Seepark Velden Hotel;FB / HB;65;m³/h;65 m³/h;AT;46.6131;14.0547;;;;;;;;;
2007;Hypo Alpe Adria Center Zagreb;Wellness;200;m³/h;200 m³/h;HR;45.7984;15.9697;;;;;;;;;
2007;Hotel Larimar Stegersbach;HB / FB Sole  ;255;m³/h;255 m³/h;AT;47.1667;16.1167;;;;;;;;;
2007;Gemeinde St. Anton / Jeßnitz;FB;141;m³/h;141 m³/h;AT;47.8667;15.2333;;;;;;;;;
2007;Thermal-Römerbad, Bad Kleinkirchheim;FB Erweiterung Erlebnis- u. Kinderbecken;293;m³/h;293 m³/h;AT;46.8131;13.7925;;;;;;;;;
2007;Aqualuxtherme Fohnsdorf;Therme;695;m³/h;695 m³/h;AT;47.1867;14.6844;;;;;;;;;
2007;Wellnessbereich Quellenhotel, Bad Waltersdorf;HB / FB ;120;m³/h;120 m³/h;AT;47.0664;16.0235;;;;;;;;;
2007;Sport- u. Kongreßz. Seefeld;HB / FB ;650;m³/h;650 m³/h;AT;47.3306;11.1889;;;;;;;;;
2007;Hotel Sommerhof, Gosau;HB Sanierung;;; ;AT;47.5861;13.5344;;;;;;;;;
2008;Therme Linsberg;Thermalwasseraufbereitung 14,4m³/h, Thermenbrunnen 14,4 m³/h, Schwimmbadtechnik, Wasserkreislauf 1 - 576 m³/h, Wasserkreislauf 2 - 235 m³/h, Wasserkreislauf 3 - 149 m³/h, Wasserkreislauf 4 - 60 m³/h, Wasserkreislauf 5 - 100 m³/h, Wasserkreislauf 6 - 99 m³/h, Wasserkreislauf 7 - 64 m³/h;;; ;AT;47.7689;16.2264;;;;;;;;;
2008;Mariazeller Akademie;Schwimmbecken 64 m³/h, Kinderbecken 12 m³/h, Tauchbecken, Errichtung Edelstahlbecken;;; ;AT;47.7728;15.3173;;;;;;;;;
2008;Leobersdorf Generationenpark;Brunnenanlage;;; ;AT;47.9536;16.2196;;;;;;;;;
2008;Stadionbad;Umbau EEC;;; ;AT;48.2047;16.4135;;;;;;;;;
2008;Misakyan;Privatbecken Schwimmbadtechnik Edelstahlbecken;;; ;AT;47.98541928137250;16.313579583855706;;;;;;Schloßsee 2;2522;Oberwaltersdorf;Privatkunde
2008;Hotel DAS Schmidt;Therapiewanne;;; ;AT;47.7319;16.6925;;;;;;;;;
2008;Bad Zell ;HB Schwimmbadtechnik;63;m³/h;63 m³/h;AT;48.4;14.6667;;;;;;;;;
2008;Kirchberg an der Raab;Badeteich  2081 m², Schwimmbadtechnik 60 m³/h;;; ;AT;46.95;15.8333;;;;;;;;;
2008;Altlengbach;FB Badewasseraufbereitung 186 m³/h, Schwimmerbecken 50 m³/h, Nichtschwimmerbecken 68 m³/h, Kinderbecken 21 m³/h;;; ;AT;48.15;15.85;;;;;;;;;
2008;Markt Sankt Martin;Badeteich 1400 m², Badewasseraufbereitung 46 m³/h;;; ;AT;47.5431;16.4358;;;;;;;;;
2008;Steyr;Neubau Rutsche;;; ;AT;48.0427;14.4214;;;;;;;;;
2008;Römertherme Baden;Sanierung Überlaufrinne, Baumeisterarbeiten, Edelstahlauskleidung;;; ;AT;48.0061;16.2319;;;;;;;;;
2008;Marktgemeinde Weiten;FB Sanierung, Folienauskleidung ;;; ;AT;48.3167;15.2667;;;;;;;;;
2008;Theresienbad;Erneuerung Dosierstation, Mess- und Regelung;;; ;AT;48.182;16.3308;;;;;;;;;
2008;Asia Resort Linsberg;Erweiterung Gebläseluftheizer;;; ;AT;47.7689;16.2264;;;;;;;;;
2008;Gruber Hotel Bretanide;FB Attraktionsbecken;84;m³/h;84 m³/h;HR;43.1626;16.6392;;;;;;;;;
2008;Auranus-Stiftung, Döbriach am Faakersee;HB Privatbad;25;m³/h;25 m³/h;AT;46.6436;13.7;Ort Döbriach angenommen – Auranus-Stiftung nicht verifizierbar;;;;;;;;
2008;Kairostherme Bad Gleichenberg;Therme ;567;m³/h;567 m³/h;AT;46.87;15.9;;;;;;;;;
2008;Kurhotel Raxblick, Prein an der Rax          ;HB / FB Therapie;165;m³/h;165 m³/h;AT;47.67130;15.78616;;;;;;;;;
2008;Bioterme, Mala Nedelja ;Therme Erweiterung;443;m³/h;443 m³/h;SLO;46.5726;16.0457;;;;;;;;;
2008;Unionschwimmhalle der Sportunion Graz;HB;250;m³/h;250 m³/h;AT;47.072909366178706;15.458443540859278;;;;;;;;;
2008;Almwellnesshotel Pierer Teichalm;HB;40;m³/h;40 m³/h;AT;47.3589;15.5096;;;;;;;;;
2008;Rutschenanlage Fürstenfeld;FB Badewasseranlage;120;m³/h;120 m³/h;AT;47.05;16.0833;;;;;;;;;
2008;Hallenbad Birkfeld;HB;60;m³/h;60 m³/h;AT;47.3667;15.8833;;;;;;;;;
2008;Bretanide Brac / Bol;FB;82;m³/h;82 m³/h;HR;43.2622;16.6552;;;;;;;;;
2008;Golf- u. Thermenregion Stegersbach;Erweiterung Therme;200;m³/h;200 m³/h;AT;47.1667;16.1167;;;;;;;;;
2008;Seminarhotel Retter Pöllau;FB;88;m³/h;88 m³/h;AT;47.2367;15.8953;;;;;;;;;
2008;Hotel Zedern Klang;HB / FB;65;m³/h;65 m³/h;AT;46.7386;12.5903;;;;;;;;;
2008;Antunovic;HB;20;m³/h;20 m³/h;HR;45.8031;15.9144;;;;;;;;;
2008;Villa Barbara Bad Gleichenberg;HB;20;m³/h;20 m³/h;AT;46.87;15.9;;;;;;;;;
2008;Ljutomer ;HB Kinderbecken;129;m³/h;129 m³/h;SLO;46.5189;16.1967;;;;;;;;;
2008;Hotel Lambrechthof St. Lambrecht;HB;46;m³/h;46 m³/h;AT;47.1069;14.2864;;;;;;;;;
2008;Hotel Weißbriach;HB / FB;184;m³/h;184 m³/h;AT;46.6736;13.2056;;;;;;;;;
2008;Kurhotel Salzerbad, Kleinzell / Hainfeld;HB;50;m³/h;50 m³/h;AT;47.98719784327319;15.750646468120907;;;;;;;;;
2008;Baukom;FB;26;m³/h;26 m³/h;SLO;46.416123620644484;15.86493276652309;;;;;;;;;
2008;Rehab-Zentrum Bad Häring;HB Therapiebecken;180;m³/h;180 m³/h;AT;47.5211;12.0994;;;;;;;;;
2008;Life Resort & Gesundheitszentrum Ottenschlag;FB / HB Therapiebecken;182;m³/h;182 m³/h;AT;48.4425;15.2058;;;;;;;;;
2008;Parkbad Linz;Sanierung Whirlpool;240;m³/h;240 m³/h;AT;48.2977;14.2965;;;;;;;;;
2008;Bad Hall;FB;500;m³/h;500 m³/h;AT;48.0333;14.2167;;;;;;;;;
2008;Strandbad Fuschl am See;FB Sanierung Folienbecken;240;m³/h;240 m³/h;AT;47.7992;13.2978;;;;;;;;;
2009;Engelsbad Baden;Schwimmbadtechnik 113 m², Schwimmbecken 64 m³/h, Therapiebecken 55 m³/h;;; ;AT;48.0052;16.233;;;;;;;;;
2009;BORG Wr. Neustadt;HB Sanierung;;; ;AT;47.8;16.2333;;;;;;;;;
2009;Neumarkt im Mühlenkreis;FB Schwimmbadtechnik 186 m³/h, Neubau Solaranlage 235 m²;;; ;AT;48.42524684809905;14.485606517496873;;;;;;;;;
2009;Stadionbad;Neubau Solaranlage 1000 m², Verrohrung;;; ;AT;48.2047;16.4135;;;;;;;;;
2009;Cumberlandstraße;FB Schwimmbadtechnik;30;m³/h;30 m³/h;AT;48.19193886888027;16.30273375258365;;;;;;Cumberlandstraße 53;1140;Wien;WHA
2009;Hallenbad Gänserndorf;Filteranlage Sanierung;;; ;AT;48.3;16.72;;;;;;;;;
2009;Neukirchen am Walde;Badeteich Technikausrüstung;;; ;AT;48.3833;13.8167;;;;;;;;;
2009;MA 34 – Praterstern;Brunnenanlage – Versuch;;; ;AT;48.2203;16.3921;;;;;;;;;
2009;Grimmingtherme Bad Mitterndorf;Therme;713;m³/h;713 m³/h;AT;47.5489;13.9331;;;;;;;;;
2009;Golf- und Thermenresort Bad Waltersdorf ;Erweiterung Therme;307;m³/h;307 m³/h;AT;47.0664;16.0235;;;;;;;;;
2009;Gesundheitsresort Bad St. Leonhard;HB / FB Therapie;156;m³/h;156 m³/h;AT;46.9472;14.8086;;;;;;;;;
2009;Schloss Velden Appartements Top 25                             ;SPA;15;m³/h;15 m³/h;AT;46.6111;14.0489;;;;;;;;;
2009;Hotel Mord, Mala Nedelja;HB;80;m³/h;80 m³/h;SLO;46.5726;16.0457;;;;;;;;;
2009;Kurzentrum Bad Hofgastein;Therapiebecken;70;m³/h;70 m³/h;AT;47.1706;13.1036;;;;;;;;;
2009;Genusshotel Gölles, Riegersburg;HB / FB;20;m³/h;20 m³/h;AT;46.9861;15.9272;;;;;;;;;
2009;Hotel Rauter, Matrei;FB;19;m³/h;19 m³/h;AT;47.0006;12.5383;;;;;;;;;
2009;FKK Saunauclub, Villach;FB / HB ;80;m³/h;80 m³/h;AT;46.6103;13.8558;;;;;;;;;
2009;Wellness Pule;Wellness;90;m³/h;90 m³/h;SLO;45.927222;15.183889;;;;;;;;;
2009;Med. Zentrum Bad Vigaun;FB Sanierung;313;m³/h;313 m³/h;AT;47.6167;13.1333;;;;;;;;;
2010;Pöttsching;FB Schwimmbadtechnik 490 m³/h, Folienauskleidung 1000 m², Solaranlage, 320 m², HKLS -Gebäude, E-Installation Gebäude;;; ;AT;47.80775254176932;16.37032677661196;;;;;;;;;
2010;Strandbad Baden;FB Austausch Schaltschrank, Neubau Visualisierung;;; ;AT;48.0028;16.2342;;;;;;;;;
2010;Vitalhotel Styria;FB Sanierung, Folienauskleidung 320 m², Adaptierung Technik;;; ;AT;47.3367;16.2367;;;;;;;;;
2010;Doblhoffpark Baden;Zierbrunnen, Wasseraufbereitung, Folienauskleidung;;; ;AT;48.0045;16.235;;;;;;;;;
2010;Mattersburg ;FB Sanierung, Folienauskleidung 950 m², Adaptierung Technik;;; ;AT;47.73944862568379;16.408368483764963;;;;;;;;;
2010;Neuhofen an der Ybbs;FB Sanierung, Folienauskleidung 490 m²;;; ;AT;48.05;14.8667;;;;;;;;;
2010;AQUA Nova Wr. Neustadt GU;HB Umbau Chlorierung 800 g/h, Kompl.Umrüstung von Elektrolyse auf CL Gas, Baumeisterarbeiten CL-Gasraum;800;g/h;800 g/h;AT;47.8234;16.2548;;;;;;;;;
2010;Krapinske Toplice;HB / FB;955;m³/h;955 m³/h;HR;46.1011;15.8703;;;;;;;;;
2010;Belvedere-Garten;Sanierung Brunnenanlage;458;m³/h;458 m³/h;AT;48.1919;16.3801;;;;;;;;;
2010;Hotel Izvor;HB / FB Thermalwasseraufbereitung;15;m³/h;15 m³/h;SRB;44.62;20.5756;;;;;;;;;
2010;Waldsanatorium Perchtoldsdorf;FB / HB;122;m³/h;122 m³/h;AT;48.1228;16.2667;;;;;;;;;
2010;Familiensoltherme Amadeé Altenmarkt ;11 Becken;1185;m³/h;1185 m³/h;AT;47.3831;13.4217;;;;;;;;;
2010;Reha Hallein;Therapiebecken;80;m³/h;80 m³/h;AT;47.6833;13.1;;;;;;;;;
2010;Kurbetrieb Oberzierning;HB;43;m³/h;43 m³/h;AT;47.25;14.4667;;;;;;;;;
2010;Avance Hotel Bad Tatzmannsdorf;Warmsprudelbecken;209;m³/h;209 m³/h;AT;47.3367;16.2367;;;;;;;;;
